venue_id,Name,City,State,Street,Zip,Area,Category_1,Category_2,Category_3,Category_4,Category_5
0,(512) Brewing Company,Austin, Texas,407 Radam Ln Ste F200,78745,,,Brewery,,,
1,1 Stop Beer Wine & Cigar,Wylie, Texas,456 Country Club Rd,75098,,,,Store,,
2,11 Below Brewing,Houston, Texas,6820 Bourgeois Rd,77066,, Bar,Brewery,,,
3,160ft Beerworks,Houston, Texas,1310 Nance St,77002,, Bar,Brewery,,,
4,19th Hole Liquor Beer & Wine,Harker Heights, Texas,553 W Veterans Memorial Blvd,76548,,,,Store,,
5,210 Ceviche,San Antonio, Texas,9502 IH-10 West Ste 101,78230,,Bar,,,, Eatery
6,24 Diner,Austin, Texas,600 N Lamar Blvd,78703,,Bar,,,, Eatery
7,3 Double- 0 Nine Restaurant & Bar,Schertz, Texas,17460 IH 35 N Ste 500,78154,,Bar,,,, Eatery
8,3 Nations Brewing Co.,Farmers Branch, Texas,2405 Squire Pl #200,75234,, Bar,,"Brewery, Bar",,
9,3rd Floor,Houston, Texas,2303 Smith St,77006,,Bar,,,, Eatery
10,4th Tap Brewing Co-op,Austin, Texas,10615 Metric Blvd,78758,, Bar,Brewery, Bar,,
11,5 Stones Craft Brewing Co.,Cibolo, Texas,850 Schneider Dr,78108,,,Brewery,,,
12,54th Street Grill & Bar - Stone Oak,San Antonio, Texas,22902 US Highway 281 N ,78258,,Bar,,,, Eatery
13,575 Pizzeria,Amarillo, Texas,2803 Civic Cir,79109,,Bar,,,, Eatery
14,600 Degrees Pizza and Drafthouse,Georgetown, Texas,124 E 8th St,78626,,Bar,,,, Eatery
15,7-Eleven Store # 36999,Austin, Texas,823 Congress St,78701,,,,Store,,
16,8th Wonder Brewery,Houston, Texas,2202 Dallas St,77003,, Bar,Brewery,,,
17,903 Brewers,Sherman, Texas,1718 S Elm St,75090,,,Brewery,,,
18,AAFES Class VI,Ft Hood, Texas,Clear Creek Rd,76544,,,,Store,,
19,AB Beer & Wine,Royse City, Texas,125 E Main St,75189,,,,Store,,
20,ABC Liquor,Austin, Texas,2121 W Parmer Ln #105,78727,,,,Store,,
21,Abel's North,Austin, Texas,4001 W Parmer Ln,78727,, Bar,,,, Eatery
22,Cypress Street Station Home of the Abilene Brewing Co.,Abilene, Texas,158 Cypress St,79601,, Bar,Brewery,,, Eatery
23,AD Beer & Wine,Garland, Texas,565 W Oates Rd Ste 115,75043,,,,Store,,
24,Adelbert's Brewery,Austin, Texas,2314 Rutland Dr Ste #100,78758,, Bar,Brewery,,,
25,AJ's Ale House,New Braunfels, Texas,236 W San Antonio St,78130,,Bar,, Eatery,,
26,Alamo Beer Co.,San Antonio, Texas,415 Burnet St,78202,, Bar,Brewery, Bar,,
27,Alamo Drafthouse,New Braunfels, Texas,651 N Business IH 35,78130,,Bar,, Eatery,,
28,Alamo Drafthouse - Park North,San Antonio, Texas,618 NW Loop 410,78216,,Bar,, Eatery,,
29,Alamo Drafthouse - Vintage Park,Houston, Texas,114 Vintage Park Blvd,77070,,Bar,, Eatery,,
30,Alamo Drafthouse Cinema - Downtown,Texas\, Texas,320 E 6th St,78701,,Bar,,,,
31,Alamo Drafthouse Cinema - Slaughter Lane,Austin, Texas,5701 W Slaughter Ln,78749,,Bar,,,, Eatery
32,Alamo Drafthouse Cinema - South Lamar,Austin, Texas,1120 South Lamar Blvd,78704,,Bar,,,, Eatery
33,Alamo Drafthouse Cinema - Village,Austin, Texas,2700 W Anderson Lane,78757,,Bar,,,,
34,Alamo Drafthouse Cinema - Westlakes,San Antonio, Texas,1255 SW Loop 410,78227,,Bar,,Store,,Eatery
